category,instruction,input,output
Campus Life,Detail the medical facilities available in a specific college.,"Are there medical facilities available at Arya College of Engineering & IT, Jaipur?","Arya College of Engineering & IT, Jaipur provides on-campus medical facilities with a dedicated health center that operates 24/7. The health center has a team of qualified doctors and nurses, offering first aid, emergency care, and regular health check-ups. The college also has tie-ups with nearby hospitals for specialized treatments."
Course Information,Provide course details on the B.Tech branches available.,What branches are available for B.Tech at Rajasthan Institute of Technology?,"The B.Tech branches available at Rajasthan Institute of Technology are Computer Science, Mechanical Engineering, Civil Engineering, and Electrical Engineering."
Seat Availability,Give information about seat availability for B.Tech programs at the specific college.,"How many seats are available for B.Tech programs at Government Engineering College, Bikaner?","Government Engineering College, Bikaner has around 100 seats available across its B.Tech programs. For the most recent seat availability information, visit their [official website](http://www.gecbikaner.ac.in)."
Placement Information,Explain placement opportunities available at a specific college.,"What are the placement opportunities at Government Engineering College, Udaipur?","Government Engineering College, Udaipur has a good placement track record with companies like Infosys, TCS, and HCL. The average salary package is INR 4.7 LPA, and the highest package offered recently was INR 11 LPA."
Ranking Information,Give details about the ranking.,"What is the ranking of Malaviya National Institute of Technology, Jaipur?","Malaviya National Institute of Technology, Jaipur is ranked 37 among the top engineering colleges in India by various ranking agencies such as NIRF (National Institutional Ranking Framework) and Outlook India."
Alumni Information,Provide details on the career achievements of alumni from the specific college.,What are some notable career achievements of alumni from Rajasthan Institute of Engineering & Technology?,"Alumni from Rajasthan Institute of Engineering & Technology have achieved significant career milestones, including high-ranking positions in top tech firms and successful startups. For more details, check their [alumni page](http://www.rniet.edu.in)."
Alumni Information,Provide information about successful alumni from college.,"Who are some successful alumni of Government Engineering College, Ajmer?","Successful alumni of Government Engineering College, Ajmer include Praveen Kumar, Co-Founder of Tech Mahindra, and Ramesh Sinha, Senior Engineer at Tata Consultancy Services. Visit their [official site](http://www.gecajmer.ac.in) for more details."
General Questions,Inquire about the user's daily routine.,What does a typical day look like for you?,Everyone has their own rhythm. What does your typical day look like?
Open-Ended Questions,Ask about personal growth and learning.,What is something new you've learned recently?,Learning new things is always exciting. What's something you've learned lately?
Scholarships,Describe the available scholarships for students.,Are there any scholarships available for SC/ST students?,"Yes, there are several scholarships available for SC/ST students in Rajasthan, including the Post-Matric Scholarship for SC/ST/OBC students provided by the state government. Eligible students must have a valid caste certificate and meet the income criteria. The scholarship covers tuition fees, maintenance allowance, and other expenses."
Contact Details,Provide contact details for the hostel office of the specific college.,"How can I contact the hostel office at Malaviya National Institute of Technology, Jaipur?","To contact the hostel office at Malaviya National Institute of Technology, Jaipur, use the following: Phone: +91-141-2716372, Email: hostel@mnit.ac.in, Address: Malaviya National Institute of Technology, Jaipur, Rajasthan, 302017."
Open-Ended Questions,Ask about the user's dreams.,"If you could achieve one dream, what would it be?",Dreams keep us motivated and inspired. What's the one dream you cherish the most?
Open-Ended Questions,Encourage the user to reflect on their future goals.,What are some goals you have for the next year?,Thinking about the future can be exciting. What are some things you'd like to accomplish?
Admission Process,Explain the eligibility criteria for admission.,What are the eligibility criteria for admission to polytechnic colleges in Rajasthan?,"For admission to polytechnic colleges in Rajasthan, candidates must have passed 10th grade or equivalent with at least 35% marks. Additionally, candidates need to participate in the DTE Rajasthan Polytechnic Admission Process, which includes filling out the application form, submitting necessary documents, and paying the application fee."
Course Information,Provide information on specializations in the B.Tech program.,Are there any specializations available in the B.Tech Mechanical Engineering program at Rajasthan Institute of Technology?,Rajasthan Institute of Technology does not offer specific specializations within the B.Tech Mechanical Engineering program. The program provides a broad foundation in mechanical engineering principles and practices.
Apologies,Express regret for not being helpful.,You weren't very helpful today.,I'm really sorry to hear that. I'll do my best to assist you better in the future!
Admission Process,Provide details on the admission process.,How do I apply for admission to an engineering college in Rajasthan?,"To apply for admission to an engineering college in Rajasthan, you need to participate in the REAP (Rajasthan Engineering Admission Process). The process involves registering online, filling out the application form, uploading required documents, and paying the application fee. After the registration period ends, a merit list will be published, followed by the seat allotment process based on your rank and preferences."
Greetings and Farewells,Respond to greetings and farewells.,Good afternoon,Good afternoon! How can I help you today?
Seat Availability,Provide information on the seat availability for the specific program at the specific college.,"What is the seat availability for the Civil Engineering program at Government Engineering College, Ajmer?","Government Engineering College, Ajmer has 80 seats available for the Civil Engineering program. For the latest updates, check their [official website](http://www.gecajmer.ac.in)."
Apologies,Apologize for causing confusion.,Your answer confused me.,I apologize if my answer was unclear. Let me try explaining it differently.
Course Information,Provide information on specializations in the B.Tech program.,"Does Government Engineering College, Bikaner offer a B.Tech program in Information Technology?","Yes, Government Engineering College, Bikaner offers a B.Tech program in Information Technology along with other specializations such as Computer Science Engineering, Mechanical Engineering, Civil Engineering, Electrical Engineering, and Electronics and Communication Engineering."
